id,class,label_numeric
Atul11870.png,deceptive,1
Atul11871.png,deceptive,1
Atul11872.png,deceptive,1
Atul11873.png,deceptive,1
Atul11874.png,deceptive,1
Atul11875.png,deceptive,1
Atul11876.png,deceptive,1
Atul11877.png,deceptive,1
Atul11878.png,deceptive,1
Atul11879.png,deceptive,1
Atul11880.png,deceptive,1
Atul11881.png,deceptive,1
Atul11882.png,deceptive,1
Atul11883.png,deceptive,1
Atul11884.png,deceptive,1
Atul11885.png,deceptive,1
Atul11886.png,deceptive,1
Atul11887.png,deceptive,1
Atul11888.png,deceptive,1
Atul11889.png,deceptive,1
Atul11890.png,deceptive,1
Atul11891.png,deceptive,1
Atul11892.png,deceptive,1
Atul11893.png,deceptive,1
Atul11894.png,deceptive,1
Atul11895.png,deceptive,1
Atul11896.png,deceptive,1
Atul11897.png,deceptive,1
Atul11898.png,deceptive,1
Atul11899.png,deceptive,1
Atul11900.png,deceptive,1
Atul11901.png,deceptive,1
Atul11902.png,deceptive,1
Atul11903.png,deceptive,1
Atul11904.png,deceptive,1
Atul11905.png,deceptive,1
Atul11906.png,deceptive,1
Atul11907.png,deceptive,1
Atul11908.png,deceptive,1
Atul11909.png,deceptive,1
Atul11910.png,deceptive,1
Atul11911.png,deceptive,1
Atul11912.png,deceptive,1
Atul11913.png,deceptive,1
Atul11914.png,deceptive,1
Atul11915.png,deceptive,1
Atul11916.png,deceptive,1
Atul11917.png,deceptive,1
Atul11918.png,deceptive,1
Atul11919.png,deceptive,1
Atul11920.png,deceptive,1
Atul11921.png,deceptive,1
Atul11922.png,deceptive,1
Atul11923.png,deceptive,1
Atul11924.png,deceptive,1
Atul11925.png,deceptive,1
Atul11926.png,deceptive,1
Atul11927.png,deceptive,1
Atul11928.png,deceptive,1
Atul11929.png,deceptive,1
Atul11930.png,deceptive,1
Atul11931.png,deceptive,1
Atul11932.png,deceptive,1
Atul11933.png,deceptive,1
Atul11934.png,deceptive,1
Atul11935.png,deceptive,1
Atul11936.png,deceptive,1
Atul11937.png,deceptive,1
Atul11938.png,deceptive,1
Atul11939.png,deceptive,1
Atul11940.png,deceptive,1
Atul11941.png,deceptive,1
Atul11942.png,deceptive,1
Atul11943.png,deceptive,1
Atul11944.png,deceptive,1
Atul11945.png,deceptive,1
Atul11946.png,deceptive,1
Atul11947.png,deceptive,1
Atul11948.png,deceptive,1
Atul11949.png,deceptive,1
Atul11950.png,deceptive,1
Atul11951.png,deceptive,1
Atul11952.png,deceptive,1
Atul11953.png,deceptive,1
Atul11954.png,deceptive,1
Atul11955.png,deceptive,1
Atul11956.png,deceptive,1
Atul11957.png,deceptive,1
Atul11958.png,deceptive,1
Atul11959.png,deceptive,1
Atul11960.png,deceptive,1
Atul11961.png,deceptive,1
Atul11962.png,deceptive,1
Atul11963.png,deceptive,1
Atul11964.png,deceptive,1
Atul11965.png,deceptive,1
Atul11966.png,deceptive,1
Atul11967.png,deceptive,1
Atul11968.png,deceptive,1
Atul11969.png,deceptive,1
Atul11970.png,deceptive,1
Atul11971.png,deceptive,1
Atul11972.png,deceptive,1
Atul11973.png,deceptive,1
Atul11974.png,deceptive,1
Atul11975.png,deceptive,1
Atul11976.png,deceptive,1
Atul11977.png,deceptive,1
Atul11978.png,deceptive,1
Atul11979.png,deceptive,1
Atul11980.png,deceptive,1
Atul11981.png,deceptive,1
Atul11982.png,deceptive,1
Atul11983.png,deceptive,1
Atul11984.png,deceptive,1
Atul11985.png,deceptive,1
Atul11986.png,deceptive,1
Atul11987.png,deceptive,1
Atul11988.png,deceptive,1
Atul11989.png,deceptive,1
Atul11990.png,deceptive,1
Atul11991.png,deceptive,1
Atul11992.png,deceptive,1
Atul11993.png,deceptive,1
Atul11994.png,deceptive,1
Atul11995.png,deceptive,1
Atul11996.png,deceptive,1
Atul11997.png,deceptive,1
Atul11998.png,deceptive,1
Atul11999.png,deceptive,1
Atul12000.png,deceptive,1
Atul12001.png,deceptive,1
Atul12002.png,deceptive,1
Atul12003.png,deceptive,1
Atul12004.png,deceptive,1
